idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
51,Von Hippel-Lindau disease,"['Seizures', 'Upper abdominal pain', 'Excessive growth', 'Abnormal appearing skin', 'Headache', 'Blood in urine', 'Paresthesia', 'Diminished vision', 'Knee pain', 'Fatigue', 'Nausea', 'Kidney mass']","Von Hippel\xe2\x80\x93Lindau (VHL) disease is a rare, autosomal dominant genetic condition that predisposes individuals to benign and malignant tumours. The most common tumours found in VHL are central nervous system and retinal hemangioblastomas, clear cell renal carcinomas, pheochromocytomas, pancreatic neuroendocrine tumours, pancreatic cysts, endolymphatic sac tumors and epididymal papillary cystadenomas. VHL results from a mutation in the von Hippel\xe2\x80\x93Lindau tumor suppressor gene on chromosome 3p25.3. ","['Magnetic resonance imaging (Mri)', 'Complete physical skin exam performed (ML)', 'Sigmoidoscopy or colonoscopy', 'Incision and excision of CNS', 'Diagnostic spinal tap (Spinal tap)', 'Excision of skin lesion', 'Occupational therapy assessment (Speech therapy)']","['Albendazole', 'Pimecrolimus Topical', 'Acetazolamide (Diamox)', 'Travoprost (Travatan)', 'Bimatoprost Ophthalmic', 'Brimonidine Ophthalmic', 'Lactulose', 'Nortriptyline', 'Fluticasone Topical Product', 'Rabeprazole (Aciphex)', 'Oxcarbazepine (Trileptal)', 'Gemfibrozil']",disease
52,Substance-related mental disorder,"['Depressive or psychotic symptoms', 'Delusions or hallucinations', 'Depression', 'Anxiety and nervousness', 'Drug abuse', 'Abusing alcohol', 'Insomnia', 'Feeling ill', 'Excessive anger', 'Problems with movement', 'Hostile behavior', 'Fears and phobias']"," quetiapine (seroquel), ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)', 'Electrocardiogram', 'Intravenous fluid replacement']","['Lorazepam', 'Quetiapine (Seroquel)', 'Risperidone', 'Haloperidol', 'Benztropine', 'Ziprasidone (Geodon)', 'Efavirenz', 'Naloxone (Suboxone)', 'Nicotine', 'Didanosine (Videx)', 'Nelfinavir (Viracept)', 'Naltrexone']",medication
53,Postpartum depression,"['Depression', 'Recent pregnancy', 'Problems during pregnancy', 'Anxiety and nervousness', 'Pain during pregnancy', 'Depressive or psychotic symptoms', 'Drug abuse', 'Spotting or bleeding during pregnancy', 'Uterine contractions', 'Delusions or hallucinations', 'Intermenstrual bleeding', 'Excessive anger']","Postpartum depression (PPD), also called postnatal depression, is a type of clinical depression which can affect women, and less frequently men, typically after childbirth. Studies report prevalence rates among women from 5% to 25%, but methodological differences among the studies make the actual prevalence rate unclear. Among men, in particular new fathers, the incidence of postpartum depression has been estimated to be between 1% and 25.5%. Postpartum depression occurs in women after they have carried a child. Symptoms include sadness, fatigue, changes in sleeping and eating patterns, reduced libido, crying episodes, anxiety, and irritability. Although a number of risk factors have been identified, the causes of PPD are not well understood. Many women recover with a treatment consisting of a support group or counseling. ","['Urinalysis', 'Pelvis exam', 'Examination of breast', 'Mental health counseling', 'Ultrasonography (Ultrasound)', 'Chlamydia test', 'Depression screen (Depression screening)']","['Sertraline (Zoloft)', 'Methadone', 'Miconazole Topical Product', 'Propylthiouracil', 'Rho(D) Immune Globulin (Rhogam)', 'Aloe Vera Preparation', 'Bromocriptine', 'Desipramine', 'Guar Gum']",disease
54,Coronary atherosclerosis,"['Sharp chest pain', 'Shortness of breath', 'Fatigue', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Lymphedema', 'Leg cramps or spasms', 'Burning chest pain']","Atherosclerosis (also known as arteriosclerotic vascular disease or ASVD) is a condition in which an artery wall thickens as a result of the accumulation of fatty materials such as cholesterol and triglyceride. It is a syndrome affecting arterial blood vessels, a chronic inflammatory response in the walls of arteries, caused largely by the accumulation of macrophage white blood cells and promoted by low-density lipoproteins (LDL, plasma proteins that carry cholesterol and triglycerides) without adequate removal of fats and cholesterol from the macrophages by functional high-density lipoproteins (HDL) (see apoA-1 Milano). It is commonly referred to as a hardening or furring of the arteries. It is caused by the formation of multiple plaques within the arteries. ","['Hematologic tests (Blood test)', 'Electrocardiogram', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Ultrasonography (Ultrasound)', 'Echocardiography', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Aspirin', 'Metoprolol', 'Clopidogrel (Plavix)', 'Simvastatin', 'Nitroglycerin', 'Carvedilol', 'Isosorbide', 'Rosuvastatin (Crestor)', 'Digoxin', 'Ezetimibe (Zetia)', 'Ramipril']",disease
55,Spondylitis,"['Back pain', 'Low back pain', 'Leg pain', 'Neck pain', 'Hip pain', 'Side pain', 'Back cramps or spasms', 'Lower body pain', 'Stiffness all over', 'Muscle cramps, contractures, or spasms', 'Low back cramps or spasms', 'Back mass or lump']","Spondylitis is an inflammation of the vertebra. It is a form of spondylopathy. In many cases spondylitis involves one or more vertebral joints as well, which itself is called spondylarthritis. ","['Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Other therapeutic procedures', 'Insertion of catheter or spinal stimulator and injection into spinal canal', 'Magnetic resonance imaging (Mri)', 'Other non-OR or closed therapeutic nervous system procedures', 'Physical therapy exercises; manipulation; and other procedures']","['Cyclobenzaprine', 'Diazepam (Valium)', 'Carisoprodol (Soma)', 'Orphenadrine (Flexon)', 'Methocarbamol', 'Tizanidine', 'Bupivacaine', 'Metaxalone (Skelaxin)', 'Methadone', 'Nabumetone', 'Chlorzoxazone']",disease
56,Pituitary adenoma,"['Headache', 'Loss of sensation', 'Diminished vision', 'Knee pain', 'Nausea', 'Disturbance of memory', 'Coryza', 'Weight gain', 'Pain in eye', 'Nosebleed', 'Long menstrual periods', 'Muscle swelling']","Pituitary adenomas are noncancerous tumors that occur in the pituitary gland. Pituitary adenomas are generally divided into three categories dependant upon their biological functioning: benign adenoma, invasive adenoma or carcinomas, with carcinomas accounting for 0.1% to 0.2%, approximately 35% being invasive adenomas and most being benign adenomas. Pituitary adenomas represent from 10% to 25% of all intracranial neoplasms and the estimated prevalence rate in the general population is approximately 17%. ","['Magnetic resonance imaging (Mri)', 'Examination of breast', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Pelvis exam', 'Ophthalmic examination and evaluation (Eye exam)', 'Diagnostic procedures on nose; mouth and pharynx', 'Sigmoidoscopy or colonoscopy']","['Bromocriptine', 'Testosterone', 'Rosuvastatin (Crestor)', 'Cabergoline', 'Olmesartan (Benicar)', 'Gadoteridol (Prohance)', 'Pergolide', 'Diethylpropion (Tenuate)', 'Pramlintide (Symlin)', 'Fluorometholone Ophthalmic', 'Triazolam (Halcion)']",disease
57,Uterine fibroids,"['Sharp abdominal pain', 'Pelvic pain', 'Heavy menstrual flow', 'Lower abdominal pain', 'Unpredictable menstruation', 'Painful menstruation', 'Intermenstrual bleeding', 'Long menstrual periods', 'Infertility', 'Vaginal discharge', 'Involuntary urination', 'Cramps and spasms']","A uterine fibroid is a leiomyoma (benign (non-cancerous) tumor from smooth muscle tissue) that originates from the smooth muscle layer (myometrium) of the uterus. Fibroids are often multiple and garner the designation of diffuse uterine leiomyomatosis if they are randomly located and many in numbers. There is a malignant form of a fibroid and fibroids can rarely (0.1-0.5%), undergo malignant degeneration into leiomyosarcoma. Additionally there are rare forms of fibroids where the lesions are capable of metastasising without malignant transformation and this process is called benign metastasising leiomyoma. ","['Pelvis exam', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Urinalysis', 'Ultrasonography (Ultrasound)', 'Examination of breast', 'Standard pregnancy test']","['Medroxyprogesterone', 'Leuprolide (Lupron)', 'Progesterone', 'Clomiphene (Clomid)', 'Human Chorionic Gonadotropin (Hcg)', 'Norethindrone (Loestrin Fe)', 'Sevoflurane', 'Nafarelin (Synarel)', 'Butoconazole Topical', 'Goserelin (Zoladex)', 'Ferrous Sulfate']",disease
58,Idiopathic nonmenstrual bleeding,"['Intermenstrual bleeding', 'Unpredictable menstruation', 'Long menstrual periods', 'Pelvic pain', 'Sharp abdominal pain', 'Heavy menstrual flow', 'Painful menstruation', 'Vaginal discharge', 'Painful urination', 'Frequent menstruation', 'Blood clots during menstrual periods', 'Sweating']"," ortho cyclen, ","['Hematologic tests (Blood test)', 'Pelvis exam', 'Complete blood count (Cbc)', 'Urinalysis', 'Ultrasonography (Ultrasound)', 'Standard pregnancy test', 'Examination of breast']","['Medroxyprogesterone', 'Ortho Cyclen', 'Propofol', 'Sevoflurane', 'Miconazole Topical Product', 'Progesterone', 'Portia', 'Interferon Gamma-1B (Actimmune)', 'Hexachlorophene Topical']",medication
59,Chalazion,"['Mass on eyelid', 'Pain in eye', 'Swollen eye', 'Eye redness', 'Symptoms of eye', 'Eyelid swelling', 'Eyelid lesion or rash', 'Diminished vision', 'Itchiness of eye', 'Skin growth', 'Foreign body sensation in eye', 'Lacrimation']","A chalazion (/k\xc9\x99\xcb\x88le\xc9\xaazi\xc9\x99n/; plural chalazia /k\xc9\x99\xcb\x88le\xc9\xaazi\xc9\x99/), also known as a meibomian gland lipogranuloma, is a cyst in the eyelid that is caused by inflammation of a blocked meibomian gland, usually on the upper eyelid. Chalazia differ from styes (hordeola) in that they are subacute and usually painless nodules. They may become acutely inflamed but, unlike a stye, chalazia usually point inside the lid rather than on the lid margin. ","['Excision (Removal)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Physical therapy exercises (Exercises)', 'Physical therapy exercises; manipulation; and other procedures', 'Biopsy']","['Dexamethasone-Tobramycin Ophthalmic', 'Erythromycin', 'Erythromycin Ophthalmic', 'Triamcinolone Topical Product', 'Gentamicin Ophthalmic', 'Loteprednol-Tobramycin Ophthalmic', 'Cefaclor (Ceclor)', 'Tobramycin Ophthalmic', 'Fluorescein', 'Ocular Lubricant', 'Ketorolac Ophthalmic Product', 'Ciprofloxacin Ophthalmic']",disease
60,Ovarian torsion,"['Sharp abdominal pain', 'Lower abdominal pain', 'Pelvic pain', 'Ache all over', 'Groin mass', 'Unwanted hair', 'Symptoms of bladder', 'Knee swelling', 'Pain or soreness of breast', 'Skin swelling', 'Infertility', 'Acne or pimples']",Ovarian torsion (OT) refers to the rotation of the ovary to such a degree as to occlude the ovarian artery and/or vein. ,"['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Pelvis exam', 'Ultrasonography (Ultrasound)', 'Urinalysis', 'Complete blood count (Cbc)', 'Standard pregnancy test']","['Progesterone', 'Propofol', 'Bupivacaine', 'Collagen', 'Cefoxitin', 'Clorazepate', 'Cellulose', 'Sevoflurane', 'Cyproheptadine', 'Letrozole (Femara)']",disease
61,Retinopathy due to high blood pressure,"['Diminished vision', 'Spots or clouds in vision', 'Symptoms of eye', 'Pain in eye', 'Itchiness of eye', 'Foreign body sensation in eye', 'Mass on eyelid', 'Eye redness', 'Blindness', 'Pus draining from ear', 'Lacrimation', 'Irregular appearing nails']",Hypertensive retinopathy is damage to the retina and retinal circulation due to high blood pressure (i.e. hypertension). ,"['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Ophthalmologic and otologic diagnosis and treatment', 'Examination of foot', 'Repair of retinal tear; detachment']","['Insulin, Aspart, Human (Novolog)', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Quinapril', 'Verapamil (Univer)', 'Repaglinide (Prandin)', 'Bevacizumab (Avastin)', 'Bimatoprost Ophthalmic', 'Temazepam', 'Hydralazine', 'Methsuximide (Celontin)', 'Prasugrel (Effient)']",disease
62,Vaginal yeast infection,"['Vaginal itching', 'Vaginal discharge', 'Painful urination', 'Sharp abdominal pain', 'Vaginal pain', 'Vaginal redness', 'Itching of skin', 'Problems during pregnancy', 'Suprapubic pain', 'Pelvic pain', 'Lower abdominal pain', 'Vulvar irritation']","Candidiasis or thrush is a fungal infection (mycosis) of any of the Candida species (all yeasts), of which Candida albicans is the most common. Also commonly referred to as a yeast infection, candidiasis is also technically known as candidosis, moniliasis, and oidiomycosis. ","['Pelvis exam', 'Urinalysis', 'Standard pregnancy test', 'Chlamydia test', 'Microscopic examination (bacterial smear; culture; toxicology)', 'Examination of breast', 'Pap smear']","['Fluconazole (Diflucan)', 'Miconazole Topical Product', 'Terconazole Topical', 'Clotrimazole Topical', 'Metronidazole', 'Betamethasone-Clotrimazole Topical', 'Nystatin Topical Product', 'Portia', 'Butoconazole Topical', 'Nonoxynol 9 Topical', 'Levonorgestrel']",disease
63,Mastoiditis,"['Ear pain', 'Dizziness', 'Redness in ear', 'Fluid in ear', 'Cough', 'Headache', 'Diminished hearing', 'Fever', 'Plugged feeling in ear', 'Ringing in ear', 'Nasal congestion', 'Facial pain']","Mastoiditis is the result of an infection that extends to the air cells of the skull behind the ear. Specifically, it is an inflammation of the mucosal lining of the mastoid antrum and mastoid air cell system inside the mastoid process, that portion of the temporal bone of the skull that is behind the ear and which contains open, air-containing spaces. It is usually caused by untreated acute otitis media (middle ear infection) and used to be a leading cause of child mortality. With the development of antibiotics, however, mastoiditis has become quite rare in developed countries where surgical treatment is now much less frequent and more conservative, unlike former times. Untreated, the infection can spread to surrounding structures, including the brain, causing serious complications. ","['X-ray computed tomography (Scan ct)', 'Ophthalmologic and otologic diagnosis and treatment', 'CAT scan of head (Head ct)', 'Magnetic resonance imaging (Mri)']","['Ofloxacin', 'Triamcinolone Nasal Product', 'Tetracaine Ophthalmic', 'Pentobarbital', 'Boric Acid Topical', 'Ioversol', 'Azelastine Ophthalmic', 'Cefotaxime', 'Linezolid (Zyvox)', 'Cefepime', 'Amantadine']",disease
64,Lung contusion,"['Back pain', 'Sharp chest pain', 'Ache all over', 'Rib pain', 'Elbow pain', 'Hip pain', 'Hurts to breath', 'Fluid retention', 'Dizziness', 'Headache', 'Shoulder pain', 'Shortness of breath']","A pulmonary contusion (or lung contusion) is a contusion (bruise) of the lung, caused by chest trauma. As a result of damage to capillaries, blood and other fluids accumulate in the lung tissue. The excess fluid interferes with gas exchange, potentially leading to inadequate oxygen levels (hypoxia). Unlike pulmonary laceration, another type of lung injury, pulmonary contusion does not involve a cut or tear of the lung tissue. ","['Plain x-ray (X ray)', 'Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis']","['Morphine (Rms)', 'Tetanus Toxoid Vaccine (Adacel)', 'Cefazolin', 'Fentanyl', 'Ammonium Chloride', 'Propofol', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",disease
65,Hypertrophic obstructive cardiomyopathy (HOCM),"['Sharp chest pain', 'Difficulty breathing', 'Anxiety and nervousness', 'Chest tightness', 'Leg swelling', 'Joint pain', 'Cough', 'Emotional symptoms', 'Elbow cramps or spasms', 'Nailbiting', 'Muscle swelling', 'Elbow weakness']",HCM may refer to: ,"['Radiographic imaging procedure', 'Echocardiography', 'Ultrasonography (Ultrasound)', 'Diagnostic ultrasound of heart (echocardiogram)', 'Cardiac stress tests', 'Psychotherapy', 'Lipid panel']","['Metoprolol', 'Verapamil (Univer)', 'Trazodone', 'Testosterone', 'Buspirone (Buspar)', 'Mirtazapine', 'Olmesartan (Benicar)', 'Quetiapine (Seroquel)', 'Lansoprazole (Prevacid)', 'Fluticasone Nasal Product']",test
66,Ingrown toe nail,"['Irregular appearing nails', 'Foot or toe pain', 'Skin on leg or foot looks infected', 'Foot or toe swelling', 'Abnormal appearing skin', 'Skin dryness, peeling, scaliness, or roughness', 'Skin growth', 'Skin on arm or hand looks infected', 'Swollen eye', 'Neck swelling', 'Skin irritation', 'Itchy scalp']","Onychocryptosis (from Greek \xe1\xbd\x84\xce\xbd\xcf\x85\xce\xbe onyx ""nail"" + \xce\xba\xcf\x81\xcf\x85\xcf\x80\xcf\x84\xcf\x8c\xcf\x82 kryptos ""hidden""), also known as an ingrown toenail, or unguis incarnatus is a common form of nail disease. It is an often painful condition in which the nail grows so that it cuts into one or both sides of the paronychium or nail bed. This condition has been found only in shoe-wearing cultures and does not occur in habitually barefoot people since it requires downward pressure on the nail by a shoe. ","['Excision (Removal)', 'Examination of foot', 'Complete physical skin exam performed (ML)', 'Wound care management', 'Other non-OR therapeutic procedures on skin and breast', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Incision and drainage (I d)']","['Cephalexin', 'Povidone Iodine Topical (Betadine)', 'Bupivacaine', 'Phenol Topical', 'Terbinafine Topical', 'Ciclopirox Topical', 'Iodine Topical', 'Terbinafine (Lamisil)', 'Cefadroxil', 'Dehydrocholic Acid', 'Sulfisoxazole (E.S.P.)']",disease
67,Pulmonary eosinophilia,"['Cough', 'Shortness of breath', 'Fever', 'Nasal congestion', 'Sharp chest pain', 'Difficulty breathing', 'Dizziness', 'Ache all over', 'Nosebleed', 'Redness in ear', 'Fluid retention', 'Paresthesia']","Eosinophilia is a condition in which the eosinophil count in the peripheral blood exceeds 0.45\xc3\x97109/L (450/\xce\xbcl). Eosinophils usually account for less than 7% of the circulating leukocytes. A marked increase in non-blood tissue eosinophil count noticed upon histopathologic examination is diagnostic for tissue eosinophilia. Several causes are known, with the most common being some form of allergic reaction or parasitosis. Diagnosis of eosinophilia is via a complete blood count (CBC), but diagnostic procedures directed at the underlying cause vary depending on the suspected condition(s). An absolute eosinophil count is not generally needed if the CBC shows marked eosinophilia. The location of the causal factor can be used to classify eosinophilia into two general types: extrinsic, in which the factor lies outside of the eosinophil cell lineage; and intrinsic eosinophilia, which denotes etiologies within the eosiniphil cell line. Specific treatments are dictated by the causative condition, though in idiopathic eosinophilia, the disease may be controlled with corticosteroids. Eosinophilia is not a disorder, unless it is idiopathic. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Kidney function tests (Kidney function test)']","['Ceftriaxone', 'Benzonatate', 'Moxifloxacin (Avelox)', 'Prednisolone', 'Lactase', 'Ubiquinone (Q10)', 'Primidone', 'Candesartan (Atacand)', 'Cefuroxime']",symptom
68,Open wound of the hip,"['Hip pain', 'Leg pain', 'Hip swelling']"," diphtheria toxoid vaccine / tetanus toxoid vaccine, ","['Wound care management', 'Suturing of wound', 'Plain x-ray (X ray)', 'Complete physical skin exam performed (ML)', 'Application of splint (Splinting)', 'Culture wound', 'Referral to home health care service']","['Cephalexin', 'Tetanus Toxoid Vaccine (Adacel)', 'Povidone Iodine Topical (Betadine)', 'Bacitracin (Septa)', 'Cefazolin', 'Silver Sulfadiazine Topical', 'Papain-Urea Topical', 'Rabies Vaccine (Obsolete)', 'Rabies Immune Globulin, Human']",medication
69,Corneal disorder,"['Diminished vision', 'Pain in eye', 'Eye redness', 'Spots or clouds in vision', 'Symptoms of eye', 'Foreign body sensation in eye', 'Lacrimation', 'Itchiness of eye', 'White discharge from eye', 'Swollen eye', 'Double vision', 'Eyelid lesion or rash']","The cornea is the transparent front part of the eye that covers the iris, pupil, and anterior chamber. The cornea, with the anterior chamber and lens, refracts light, with the cornea accounting for approximately two-thirds of the eye\'s total optical power. In humans, the refractive power of the cornea is approximately 43 dioptres. While the cornea contributes most of the eye\'s focusing power, its focus is fixed. The curvature of the lens, on the other hand, can be adjusted to ""tune"" the focus depending upon the object\'s distance. Medical terms related to the cornea often start with the prefix ""kerat-"" from the Greek word \xce\xba\xce\xad\xcf\x81\xce\xb1\xcf\x82, horn. ","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmologic and otologic diagnosis and treatment', 'Lens and cataract procedures', 'Other therapeutic procedures', 'Diagnostic procedures on eye', 'Corneal transplant']","['Prednisolone Ophthalmic', 'Moxifloxacin (Avelox)', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Latanoprost', 'Cyclosporine Ophthalmic', 'Proparacaine Ophthalmic', 'Bimatoprost Ophthalmic', 'Olopatadine Ophthalmic', 'Loteprednol Ophthalmic', 'Timolol', 'Brimonidine Ophthalmic']",test
70,Foreign body in the gastrointestinal tract,"['Difficulty in swallowing', 'Vomiting', 'Sharp abdominal pain', 'Regurgitation', 'Vomiting blood', 'Throat feels tight', 'Lump in throat', 'Recent weight loss', 'Cramps and spasms', 'Incontinence of stool', 'Foot or toe cramps or spasms', 'Temper problems']"," cefoxitin, ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Intravenous fluid replacement', 'Nonoperative removal of foreign body', 'Esophageal dilatation (Esophageal dilation)', 'Tracheoscopy and laryngoscopy with biopsy', 'Intubation']","['Glucagon', 'Cefoxitin', 'Charcoal', 'Papain Topical', 'Triethanolamine Polypeptide Oleate Otic', 'Lidocaine-Prilocaine Topical', 'Fluvoxamine (Luvox)']",medication
71,Endophthalmitis,"['Pain in eye', 'Eye redness', 'Swollen eye', 'Diminished vision', 'Itchiness of eye', 'Mass on eyelid', 'Paresthesia', 'Painful sinuses', 'Skin lesion', 'Foot or toe pain', 'Lacrimation', 'Painful urination']","Endophthalmitis is an inflammation of the internal coats of the eye. It is a possible complication of all intraocular surgeries, particularly cataract surgery, with possible loss of vision and the eye itself. Infectious etiology is the most common and various bacteria and fungi have been isolated as the cause of the endophthalmitis. Other causes include penetrating trauma and retained intraocular foreign bodies. ","['Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Nonoperative removal of foreign body', 'Excision of skin lesion', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Ophthalmologic and otologic diagnosis and treatment', 'Microscopic examination (bacterial smear; culture; toxicology)']","['Erythromycin', 'Erythromycin Ophthalmic', 'Sodium Sulfacetamide Ophthalmic', 'Suprofen Ophthalmic', 'Bacitracin Ophthalmic', 'Loteprednol Ophthalmic', 'Sulfamethoxazole (Bactrim)', 'Acetazolamide (Diamox)', 'Fluorescein Ophthalmic', 'Paclitaxel (Taxol)', 'Tetracaine (One Touch)']",disease
72,Intestinal malabsorption,"['Diarrhea', 'Vomiting', 'Sharp abdominal pain', 'Allergic reaction', 'Irritable infant', 'Infant feeding problem', 'Cough', 'Constipation', 'Nasal congestion', 'Infant spitting up', 'Feeling ill', 'Flatulence']",Malabsorption is a state arising from abnormality in absorption of food nutrients across the gastrointestinal (GI) tract. ,"['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel', 'Mental health counseling', 'Depression screen (Depression screening)', 'Diagnostic ultrasound of heart (echocardiogram)', 'Other physical therapy and rehabilitation']","['Vitamin B 12', 'Calcium Citrate', 'Lansoprazole (Prevacid)', 'Nystatin Topical Product', 'Pancreatin', 'Simethicone (Degas)', 'Pancrelipase (Pancrease)', 'Multivitamin With Minerals', 'Tobramycin (Tobi)', 'Copper Gluconate (Preservision 2)', 'Penciclovir Topical', 'Ferric Oxide, Saccharated (Venofer)']",disease
73,Lead poisoning,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","Lead poisoning (also known as plumbism, colica Pictonum, saturnism, Devon colic, or painter\'s colic) is a medical condition in humans and other vertebrates caused by increased levels of the heavy metal lead in the body. Lead interferes with a variety of body processes and is toxic to many organs and tissues including the heart, bones, intestines, kidneys, and reproductive and nervous systems. It interferes with the development of the nervous system and is therefore particularly toxic to children, causing potentially permanent learning and behavior disorders. Symptoms include abdominal pain, confusion, headache, anemia, irritability, and in severe cases seizures, coma, and death. ","['Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)', 'Bone marrow transplant (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']",symptom
74,Viral warts,"['Warts', 'Skin lesion', 'Skin growth', 'Abnormal appearing skin', 'Skin moles', 'Acne or pimples', 'Bumps on penis', 'Skin swelling', 'Skin dryness, peeling, scaliness, or roughness', 'Lip swelling', 'Too little hair', 'Foot or toe lump or mass']","A wart is a small, rough growth resembling a cauliflower or a solid blister. It typically occurs on human\xe2\x80\x99s hands or feet, but often in other locations. Warts are caused by a viral infection, specifically by one of the many types of human papillomavirus (HPV). There are as many as 10 varieties of warts, the most common considered to be mostly harmless. It is possible to get warts from others; they are contagious and usually enter the body in an area of broken skin. They typically disappear after a few months but can last for years and can recur. ","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Excision of skin lesion', 'Pelvis exam', 'Wound care management', 'Rectal examination', 'Biopsy']","['Imiquimod Topical', 'Salicylic Acid Topical', 'Tretinoin Topical', 'Podofilox Topical', 'Trichloroacetic Acid Topical', 'Cimetidine', 'Acetic Acid Topical', 'Tazarotene Topical', 'Econazole Topical', 'Candida Albicans Extract', 'Podophyllum Resin Topical']",disease
75,Hyperhidrosis,"['Sweating', 'Warts', 'Acne or pimples', 'Fever', 'Skin rash', 'Redness in ear', 'Headache', 'Diminished vision', 'Sharp abdominal pain', 'Cough', 'Vomiting', 'Cramps and spasms']","Hyperhidrosis is the condition characterized by abnormally increased sweating/perspiration, in excess of that required for regulation of body temperature. ","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Excision (Removal)', 'Other OR therapeutic nervous system procedures', 'Prostate specific antigen measurement (Prostate specific antigen test)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)']","['Aluminum Chloride Hexahydrate Topical', 'Botulinum Toxin Type A (Botox)', 'Imiquimod Topical', 'Adapalene-Benzoyl Peroxide Topical', 'Clindamycin-Tretinoin Topical', 'Nateglinide (Starlix)', 'Benzoyl Peroxide-Clindamycin Topical', 'Isotretinoin (Accutane)', 'Cyproheptadine', 'Nadolol']",symptom
76,Stroke,"['Focal weakness', 'Dizziness', 'Headache', 'Loss of sensation', 'Weakness', 'Problems with movement', 'Slurring words', 'Difficulty speaking', 'Depressive or psychotic symptoms', 'Seizures', 'Abnormal involuntary movements', 'Disturbance of memory']","A stroke, or cerebrovascular accident (CVA), is the rapid loss of brain function due to disturbance in the blood supply to the brain. This can be due to ischemia (lack of blood flow) caused by blockage (thrombosis, arterial embolism), or a hemorrhage. As a result, the affected area of the brain cannot function, which might result in an inability to move one or more limbs on one side of the body, inability to understand or formulate speech, or an inability to see one side of the visual field. ","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Electrocardiogram', 'Glucose measurement (Glucose level)', 'Electrolytes panel']","['Clopidogrel (Plavix)', 'Labetalol', 'Alteplase', 'Fosphenytoin', 'Deferasirox (Exjade)', 'Bethanechol', 'Nicardipine', 'Dalteparin (Fragmin)', 'Rimabotulinumtoxinb (Myobloc)']",disease
